股票代码:ID,股票名称,:LABEL
300244,迪安诊断,股票
300246,宝莱特,股票
300247,乐金健康,股票
300273,和佳股份,股票
300298,三诺生物,股票
300314,戴维医疗,股票
300318,博晖创新,股票
300326,凯利泰,股票
300347,泰格医药,股票
300396,迪瑞医疗,股票
300404,博济医药,股票
300412,迦南科技,股票
600111,北方稀土,股票
600139,西部资源,股票
600205,S山东铝,股票
600219,南山铝业,股票
600255,梦舟股份,股票
600259,广晟有色,股票
600296,S兰铝,股票
600311,荣华实业,股票
600331,宏达股份,股票
600338,西藏珠峰,股票
600362,江西铜业,股票
600390,五矿资本,股票
600432,*ST吉恩,股票
600456,宝钛股份,股票
600459,贵研铂业,股票
600489,中金黄金,股票
600497,驰宏锌锗,股票
600531,豫光金铅,股票
600547,山东黄金,股票
600549,厦门钨业,股票
600595,中孚实业,股票
600673,东阳光科,股票
600711,盛屯矿业,股票
600714,金瑞矿业,股票
600768,宁波富邦,股票
600888,新疆众和,股票
600961,株冶集团,股票
601137,博威合金,股票
601168,西部矿业,股票
601600,中国铝业,股票
601677,明泰铝业,股票
601899,紫金矿业,股票
601958,金钼股份,股票
000060,中金岭南,股票
000426,兴业矿业,股票
000602,金马集团,股票
000603,盛达矿业,股票
000612,焦作万方,股票
000630,铜陵有色,股票
000657,中钨高新,股票
000697,炼石有色,股票
000751,锌业股份,股票
000758,中色股份,股票
000762,西藏矿业,股票
000807,云铝股份,股票
000831,五矿稀土,股票
000878,云南铜业,股票
000960,锡业股份,股票
000962,东方钽业,股票
002082,栋梁新材,股票
002114,罗平锌电,股票
002149,西部材料,股票
002155,湖南黄金,股票
002160,常铝股份,股票
002167,东方锆业,股票
002171,楚江新材,股票
002182,云海金属,股票
002203,海亮股份,股票
002237,恒邦股份,股票
002295,精艺股份,股票
002333,罗普斯金,股票
002340,格林美,股票
002378,章源钨业,股票
002379,宏创控股,股票
002428,云南锗业,股票
002460,赣锋锂业,股票
002501,利源精制,股票
002540,亚太科技,股票
002578,闽发铝业,股票
002617,露笑科技,股票
300034,钢研高纳,股票
600167,联美控股,股票
600168,武汉控股,股票
600187,国中水务,股票
600283,钱江水利,股票
600323,瀚蓝环境,股票
600333,长春燃气,股票
600461,洪城水业,股票
600617,国新能源,股票
600635,大众公用,股票
600649,城投控股,股票
600719,大连热电,股票
600758,红阳能源,股票
600917,重庆燃气,股票
600982,宁波热电,股票
601139,深圳燃气,股票
601158,重庆水务,股票
601199,江南水务,股票
000593,大通燃气,股票
000605,渤海股份,股票
000669,金鸿控股,股票
000685,中山公用,股票
000692,惠天热电,股票
000695,滨海能源,股票
002267,陕天然气,股票
002700,新疆浩源,股票
600089,特变电工,股票
600192,长城电工,股票
600268,国电南自,股票
600290,华仪电气,股票
600312,平高电气,股票
600416,湘电股份,股票
600517,置信电气,股票
600525,长园集团,股票
600550,保变电气,股票
600580,卧龙电气,股票
600590,泰豪科技,股票
600875,东方电气,股票
600973,宝胜股份,股票
601126,四方股份,股票
601179,中国西电,股票
601558,*ST锐电,股票
601700,风范股份,股票
601727,上海电气,股票
601877,正泰电器,股票
603333,明星电缆,股票
603618,杭电股份,股票
000400,许继电气,股票
000585,东北电气,股票
000682,东方电子,股票
000806,银河生物,股票
000967,盈峰环境,股票
002028,思源电气,股票
002074,国轩高科,股票
002112,三变科技,股票
002123,梦网集团,股票
002130,沃尔核材,股票
002168,深圳惠程,股票
002169,智光电气,股票
002202,金风科技,股票
002212,南洋股份,股票
002227,奥 特 迅,股票
002276,万马股份,股票
002300,太阳电缆,股票
002323,雅百特,股票
002350,北京科锐,股票
002358,森源电气,股票
002451,摩恩电气,股票
002471,中超控股,股票
002498,汉缆股份,股票
002531,天顺风能,股票
002533,金杯电工,股票
002560,通达股份,股票
002622,融钰集团,股票
002660,茂硕电源,股票
300001,特锐德,股票
300004,南风股份,股票
300018,中元股份,股票
300040,九洲电气,股票
300048,合康新能,股票
300062,中能电气,股票
300069,金利华电,股票
300120,经纬电材,股票
300125,易世达,股票
300129,泰胜风能,股票
300141,和顺电气,股票
300153,科泰电源,股票
300208,恒顺众昇,股票
300341,麦迪电气,股票
300372,欣泰退,股票
300444,双杰电气,股票
600069,银鸽投资,股票
600103,青山纸业,股票
600163,中闽能源,股票
600235,民丰特纸,股票
600308,华泰股份,股票
600356,恒丰纸业,股票
600433,冠豪高新,股票
600462,九有股份,股票
600567,山鹰纸业,股票
600793,宜宾纸业,股票
600963,岳阳林纸,股票
600966,博汇纸业,股票
000488,晨鸣纸业,股票
000815,美利云,股票
000820,神雾节能,股票
000833,贵糖股份,股票
